SR_no,ATM ID,SD & T,ED &T
1,E1ANID01,43444.65903,43444.80069
2,E1ANID01,43447.60347,43447.75347
3,E1ANMU01,43441.53681,43441.66111
4,E1ANMU01,43453.79236,43453.94861
5,E1ANMU01,43454.49792,43454.67917
6,E1ANMU01,43454.53889,43454.58611
7,E1ANMU01,43454.60278,43454.67222
8,E1ANMU01,43454.61389,43454.67222
9,E1ANMU01,43454.67986,43454.76111
10,E1ANMU02,43452.53333,43452.84861
11,E1ANMU02,43452.84861,43453.51319
12,E1ANMU02,43461.33056,43461.39375
13,E1AWBG03,43438.29167,43438.75278
14,E1AWBG03,43441.41389,43441.49375
15,E1AWBG03,43449.58611,43449.64653
16,E1AWBG03,43450.77986,43451.61111
17,E1AWBG04,43460.77292,43461.75486
18,E1AWBG05,43461.74236,43461.79097
19,E1AWBG05,43464.51458,43464.57014
20,E1AWBG06,43436.39514,43437.47569
21,E1AWBG08,43435.48472,43435.85486
22,E1AWBG08,43439.49444,43439.57222
23,E1AWBG08,43450.06875,43450.12986
24,E1AWBG08,43450.14167,43450.19444
25,E1AWBG08,43462.6375,43463.43403
26,E1AWBG08,43465.85486,43466.3875
27,E1AWBG10,43461.54792,43461.90972
28,E1AWBG10,43464.60208,43464.64444
29,E1AWBG11,43438.6,43438.64236
30,E1AWBG14,43448.62083,43448.67083
31,E1AWBG14,43448.67431,43448.74375
32,E1AWBG16,43447.81597,43447.87847
33,E1AWBG16,43447.88264,43448.61597
34,E1AWBG16,43448.61597,43448.77917
35,E1AWDH01,43437.53333,43437.64444
36,E1AWDH01,43457.64792,43458.71042
37,E1AWDH09,43435.43333,43435.59653
38,E1AWDH09,43435.59653,43435.70417
39,E1AWDH09,43438.7875,43438.84514
40,E1AWDH09,43439.00556,43439.42222
41,E1AWDH09,43439.42222,43439.53611
42,E1AWDH09,43440.88333,43441.41875
43,E1AWDH09,43441.41875,43441.50833
44,E1AWDH09,43441.77708,43441.90625
45,E1AWDH09,43442.01806,43442.43194
46,E1AWDH09,43442.43194,43442.62222
47,E1AWDH09,43442.70972,43442.83681
48,E1AWDH09,43442.86944,43443.38889
49,E1AWDH09,43444.38889,43444.43194
50,E1AWDH09,43446.82292,43447.34583
51,E1AWDH09,43454.37708,43454.44931
52,E1AWDH09,43459.58611,43459.64306
53,E1AWDH09,43459.93403,43459.98472
54,E1AWDH09,43459.98472,43460.26042
55,E1AWDH09,43460.35417,43460.55278
