WO Nbr / SR Nbr,raw_Comments
7912305821,[SPD:SS ATM/ABM:ATM ENCLOSURE:SS ENCLOSURE:SYMPTOM/FAULT NOT FOUND:::] CCTV FOOTAGE.SBIS10A017036016459200XXXXXX1581-1.1E+1019368/1/20190:47:36D10000WITHDRAWALSBIS10A017036016459200XXXXXX1581-1.1E+1019378/1/20190:48:30D10000WITHDRAWALSBIS10A017036016459200XXXXXX1581-1.1E+1019388/1/20190:49:15D10000WITHDRAWAL [Generated by Portal Login: roopkuma Contact: UPENDRA 18001804785 sbims-del@hitachi-payments.com] CE IS NOW IN101A02 APPROVAL LABOUR RECEIVED required image recive successfully and sent to image by mail required image recive successfully and sent to image by mail New Item :5875-0101-7590 New Serial Number :94-36736307 Old Item :5875-0101-7590 Old Serial Number :94-36736307
7911606913,"Atm id: 0158W063 , FSO: Ranjeet 8373917518 , mail Cctv Services <cctv.services@writercorporation.com> ""CCTV footages required date: 16/01/2019 - ""9.30 to 9.55PM, ""3861-3862-3863-3864-3865, 24000+10000, ""4213242302927853* LABOUR. APPROVAL AWAITED required image not available HDD folty Chgc call approval pending for hdd required image not available HDD folty Chgc call approval pending New Item :2012-2000-8600 New Serial Number :94-51943942 Old Item :2012-2000-8600 Old Serial Number :94-51943942"
7912003834,atm rebooting atm rebooting [Generated by Portal Login: thasac14 Contact: babasaheb 02239397354 ENAXIS@euronetworldwide.com] CE IS NOW IN101A01 cra schedule. cra requires here but some issue is coming from dispenser cjgi replace the mother board and hard disc and load the software tested ok atm working fine. all previous data lost due to software Loading and hard disc replace New Item :2012-2000-8600 New Serial Number :94-52045975 Old Item :2012-2000-8600 Old Serial Number :94-52045975
7912003370,"ATM out of service JP disabling is mandatory For Disabling the JP please set the registry parameters according to below step (Note : JP cable should be unplugged) [HKEY_LOCAL_MACHINE\SOFTWARE\Wincor Nixdorf\ProTopas\CurrentVersion\LYNXPAR\PRINTER\JOURNAL] ""PAPER_JOURNAL""=""0"" [Generated by Portal Login: phdicici Contact: ICICI PHD 04449037420 icici.phd@hitachi-payments.com] [Generated by Portal Login: phdicici Contact: ICICI PHD 04449037420 icici.phd@hitachi-payments.com [Generated by Portal Login: phdicici Contact: ICICI PHD 9176088338 icici.phd@hitachi-payments.com] CE IS NOW IN101A06 kindly cancel this call. There is software issue. I will plan after AC issue resolvation. visited the site and reload the software then ATM working ok tnx done visited the site and reload the software then ATM working ok tnx done New Item :2012-2125-8600 New Serial Number :94-52046774 Old Item :2012-2125-8600 Old Serial Number :94-52046774"
7912201532,"ATM Not Coming In Service (There is no LAN Cable issue, down due to HDD issue) [Generated by Portal Login: 1anil123 Contact: Amal Krishnan 04846615524 fts@csb.co.in] CE IS NOW IN101M01 CE WAS IN101M01 CE IS NOW IN101A02 reloded the software atm working tested ok lan PORT issue recanted the server lan cable machine working fine New Item :2018-2101-8600 New Serial Number :94-54704888 Old Item :2018-2101-8600 Old Serial Number :94-54704888"
7912300634,"aishwarya 8299426337From: Khan, Danish M Sent: Thursday, May 2, 2019 11:53 PM the machine is not working properly as the notes get stuck in the machine frequently. CE IS NOW IN101B02   visit the site and found there are no error but as per branch there are shortage issue at site same check ej logs and report given to branch now BNA TESTED OK WORKING FINE New Item :6632-2145-8604 New Serial Number :83-45452486 Old Item :6632-2145-8604 Old Serial Number :83-45452486"
7912203785,"From: EJHelpdesk@hdfcbank.com <EJHelpdesk@hdfcbank.com> Sent: Thursday, May 2, 2019 1:11 PM Machine is Not Responding to eSDMS server, CE visit require to rectify this issue. CE IS NOW IN101B02 Hi MS Team.   Engineer visited site and found network issue at site.   Same informed to EJ-Rupesh.   Kindly do the needful to rectify network issue; relog EJ call once site issue is rectified.   Satendra, as discussed, share the required snaps. Hi MS Team.   Engineer visited site and found network issue at site.   Same informed to EJ-Rupesh.   Kindly do the needful to rectify network issue; relog EJ call once site issue is rectified.   Satendra, as discussed, share the required snaps. same snap share on mail New Item :2018-2000-8600 New Serial Number :94-54705180 Old Item :2018-2000-8600 Old Serial Number :94-54705180"
7912303061,"16-Apr-19S1ANDH01Machine is Not Responding to eSDMS server, CE visit require to rectify this issuemail from FSC, Projects #EJ - EJ need to be connect. CE IS NOW IN101B02 visit the site and check ej configuration now ej connected and docket number is N03051305E. now atm tested ok working fine visit the site and check ej configuration now ej connected and docket number is N03051305E. now atm tested ok working fine New Item :2018-2000-8600 New Serial Number :94-54705180 Old Item :2018-2000-8600 Old Serial Number :94-54705180"
7912205617,"500 CASSETTE issue SLM 500 CASSETTE issue CE RAMOD 9991431720 [Generated by Portal Login: prizmyes Contact: SHUA!B 4466367823 YBLHelpdesk@hitachi-payments.com] CE IS NOW IN101C02 CE WAS IN101C02 **mail send to MS aboutAs u discussed with cit person he'll come at around 7pm, so my ETA is 6:40. Cit cassettes issue resolved,all cassettes working fine, machine is live and operational. New Item :2012-2000-8600 New Serial Number :94-46131674 Old Item :2012-2000-8600 Old Serial Number :94-46131674"
7912300476,"call log for Frequent CDF issue (Shutter issue) call log for Frequent CDF issue (Shutter issue) Custodian Vipin 8650264495 Engineer Pramod 9991431720 [Generated by Portal Login: guptadip Contact: Kartik M 9380449162 Axis.delhi@hitachi-payments.com] CE IS NOW IN101C01 cra sech required at site As discussed with cit person Vikas he'll come at 5:00 pm, so ETA is 4:50. visited the site with cra as they again given schedule of :30, clean all sensors in shutter hood, run test on it, now it works fine,test passed successfully,machine is live and operational New Item :2012-2000-8600 New Serial Number :94-46203002 Old Item :2012-2000-8600 Old Serial Number :94-46203002"
7912201686,"Caller Sunita from BR 8527186063CIT: same ATM ID: 60633296 JPT roll issue CE IS NOW IN101C06   Remark - visited site, journal printer error found, clean all sensors inside and outside of it, clean all others necessary parts and dust , now it's working fine and operational , no any error of it, tranx amount is 1000. New Item :2012-2000-8600 New Serial Number :94-49254801 Old Item :2012-2000-8600 Old Serial Number :94-49254801"
